Songs,Mood,Energy,Beats
Shape of You,Happy,High,Fast
Despacito,Happy,High,Slow
Closer,Happy,Medium,Mid-tempo
Uptown Funk,Happy,High,Fast
Cheap Thrills,Happy,High,Fast
Love Yourself,Happy,Medium,Mid-tempo
Girls Like You,Happy,Medium,Mid-tempo
Havana,Happy,High,Fast
Rockabye,Happy,Medium,Mid-tempo
Old Town Road,Happy,High,Fast
Waka Waka (This Time for Africa),Happy,High,Fast
Don't Let Me Down,Happy,High,Fast
Counting Stars,Happy,Medium,Mid-tempo
Sorry,Sad,Low,Slow
See You Again,Sad,Low,Slow
Senorita,Happy,Medium,Mid-tempo
Something Just Like This,Sad,Medium,Mid-tempo
Believer,Sad,High,Fast
Radioactive,Sad,High,Fast
Senorita,Sad,Medium,Mid-tempo
Chaiyya Chaiyya,Happy,High,Fast
Tum Hi Ho,Sad,Medium,Slow
Aankh Marey,Happy,High,Fast
Senorita,Happy,High,Fast
Galliyan,Happy,Medium,Mid-tempo
Nagada Sang Dhol,Happy,High,Fast
Muskurane Ki Wajah,Happy,Medium,Mid-tempo
Ghungroo,Happy,High,Fast
Chamak Challo,Happy,High,Fast
Radha,Happy,High,Fast
Laal Ishq,Happy,Medium,Mid-tempo
Naina Da Kya Kasoor,Happy,Medium,Mid-tempo
Zingaat,Happy,High,Fast
Banno,Happy,High,Fast
Aahun Aahun,Happy,High,Fast
Hawa Hawa,Happy,High,Fast
The Breakup Song,Happy,High,Fast
Subha Hone Na De,Happy,High,Fast
Nashe Si Chadh Gayi,Happy,High,Fast
Ghar Se Nikalte Hi,Happy,Medium,Mid-tempo
Khaab,Happy,Medium,Mid-tempo
Jeene Laga Hoon,Happy,High,Fast
Zara Zara Touch Me,Happy,High,Fast
Kuch Kuch Hota Hai,Happy,High,Fast
Manwa Laage,Happy,Medium,Mid-tempo
Hawa Hawai,Happy,Medium,Mid-tempo
Kar Gayi Chull,Happy,High,Fast
London Thumakda,Happy,High,Fast
Patakha Guddi,Happy,Medium,Mid-tempo
"High Hopes",Happy,High,Fast
"Don't Start Now",Happy,High,Fast
"Happier",Happy,High,Fast
"Can't Stop the Feeling!",Happy,High,Fast
"Shut Up and Dance",Happy,High,Fast
"I Gotta Feeling",Happy,High,Fast
"We Found Love",Happy,High,Fast
"Dance Monkey",Happy,High,Fast
"Levels",Happy,High,Fast
"Wake Me Up",Happy,High,Fast
"Sweet Child o' Mine",Happy,High,Fast
"Livin' on a Prayer",Happy,High,Fast
"Thunder",Happy,High,Fast
"Can't Hold Us",Happy,High,Fast
"Happy Together",Happy,High,Fast
"Sugar",Happy,High,Fast
"Shake It Off",Happy,High,Fast
"Wannabe",Happy,High,Fast
"Eye of the Tiger",Happy,High,Fast
"Unwritten",Happy,High,Fast
"Dil Chori",Happy,High,Fast
"Dil Diyan Gallan",Sad,High,Slow
"Tum Hi Ho",Sad,Medium,Slow
"Phir Bhi Tumko Chaahunga",Sad,Medium,Slow
"Agar Tum Saath Ho",Sad,Medium,Slow
"Jeene Laga Hoon",Happy,Medium,Mid-tempo
"Raabta",Sad,Medium,Mid-tempo
"Tum Mile",Sad,Medium,Mid-tempo
"Tera Ban Jaunga",Sad,Medium,Mid-tempo
"Zaalima",Sad,Medium,Mid-tempo
"Tera Fitoor",Sad,Medium,Mid-tempo
"Kabira",Sad,Medium,Mid-tempo
"Tera Chehra",Sad,Medium,Mid-tempo
"Pee Loon",Sad,Medium,Mid-tempo
"Tum Se Hi",Sad,Medium,Mid-tempo
"Phir Kabhi",Sad,Medium,Mid-tempo
"Tujhe Kitna Chahne Lage",Sad,Medium,Mid-tempo
"Bolna",Happy,Medium,Mid-tempo
"Maahi Ve",Happy,Medium,Mid-tempo
"Gerua",Happy,Medium,Mid-tempo
